timestamp,master_and_slave,master_xor_slave,neither,1st Res Pair,2nd Res Pair,3rd Res Pair
2019-12-15T21:13:00.000Z,0,0,1,1,4,7
2019-12-15T21:14:00.000Z,0,0,1,1,7,4
2019-12-15T21:15:00.000Z,0,1,0,1,4,0
2019-12-15T21:16:00.000Z,0,1,0,1,4,0
2019-12-15T21:17:00.000Z,0,1,0,1,4,0
2019-12-15T21:18:00.000Z,0,0,1,1,4,7
2019-12-15T21:19:00.000Z,0,0,1,1,4,3
2019-12-15T21:20:00.000Z,0,1,0,1,0,7
2019-12-15T21:21:00.000Z,0,1,0,1,0,4
2019-12-15T21:22:00.000Z,0,1,0,1,4,0
2019-12-15T21:23:00.000Z,0,1,0,1,0,4
2019-12-15T21:24:00.000Z,0,1,0,1,6,0
2019-12-15T21:25:00.000Z,0,1,0,1,0,4
2019-12-15T21:26:00.000Z,0,1,0,1,0,4
2019-12-15T21:27:00.000Z,0,1,0,1,0,4
2019-12-15T21:28:00.000Z,0,1,0,1,0,1
2019-12-15T21:29:00.000Z,0,1,0,1,0,2
2019-12-15T21:30:00.000Z,0,1,0,1,0,2
2019-12-15T21:31:00.000Z,0,1,0,1,0,4
2019-12-15T21:32:00.000Z,0,1,0,7,0,6
2019-12-15T21:33:00.000Z,0,1,0,0,4,1
2019-12-15T21:34:00.000Z,0,1,0,0,4,1
2019-12-15T21:35:00.000Z,0,1,0,0,4,7
2019-12-15T21:36:00.000Z,0,1,0,0,1,4
2019-12-15T21:37:00.000Z,0,1,0,6,0,4
2019-12-15T21:38:00.000Z,0,1,0,4,1,0
2019-12-15T21:39:00.000Z,0,1,0,4,1,0
2019-12-15T21:40:00.000Z,0,1,0,4,6,0
2019-12-15T21:41:00.000Z,0,1,0,4,6,0
2019-12-15T21:42:00.000Z,0,1,0,4,0,1
2019-12-15T21:43:00.000Z,0,0,1,4,6,1
2019-12-15T21:44:00.000Z,0,1,0,4,0,6
2019-12-15T21:45:00.000Z,0,1,0,0,1,7
2019-12-15T21:46:00.000Z,0,1,0,0,4,1
2019-12-15T21:47:00.000Z,0,1,0,6,0,1
2019-12-15T21:48:00.000Z,0,1,0,4,0,1
2019-12-15T21:49:00.000Z,0,1,0,4,1,0
2019-12-15T21:50:00.000Z,0,0,1,8,1,4
2019-12-15T21:51:00.000Z,0,0,1,1,8,4
2019-12-15T21:52:00.000Z,0,0,1,1,8,4
2019-12-15T21:53:00.000Z,0,0,1,1,4,7
2019-12-15T21:54:00.000Z,0,0,1,1,8,4
2019-12-15T21:55:00.000Z,0,0,1,1,4,7
2019-12-15T21:56:00.000Z,0,0,1,7,1,4
2019-12-15T21:57:00.000Z,0,0,1,7,1,4
2019-12-15T21:58:00.000Z,0,0,1,7,1,4
2019-12-15T21:59:00.000Z,0,0,1,7,1,4
2019-12-15T22:0:00.000Z,0,0,1,7,1,4
2019-12-15T22:1:00.000Z,0,0,1,7,1,4
2019-12-15T22:2:00.000Z,0,0,1,7,1,4
2019-12-15T22:3:00.000Z,0,0,1,7,1,4
2019-12-15T22:4:00.000Z,0,0,1,7,1,4
2019-12-15T22:5:00.000Z,0,0,1,7,1,4
2019-12-15T22:6:00.000Z,0,0,1,7,1,4
2019-12-15T22:7:00.000Z,0,0,1,4,7,2
2019-12-15T22:8:00.000Z,0,0,1,1,4,7
2019-12-15T22:9:00.000Z,0,1,0,1,4,0
2019-12-15T22:10:00.000Z,0,1,0,1,4,0
